hotel name --- Moutain Souls A 3BHK Studio Apartment, key -- cancelType, error -- list index out of range 
hotel name --- Moutain Souls A 3BHK Studio Apartment, key -- paymenttype, error -- list index out of range 
hotel name --- Moutain Souls A 3BHK Studio Apartment, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sai Darshan Homestay, key -- cancelType, error -- list index out of range 
hotel name --- Sai Darshan Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- Bubble Beds, key -- paymenttype, error -- list index out of range 
hotel name --- Sagarmatha Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Vamoose Greenland, key -- cancelType, error -- list index out of range 
hotel name --- Vamoose Greenland, key -- paymenttype, error -- list index out of range 
hotel name --- Vamoose Greenland, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Hotel Shangrila Regency, key -- cancelType, error -- list index out of range 
hotel name --- Hotel Shangrila Regency, key -- paymenttype, error -- list index out of range 
hotel name --- Zambala Retreat & Spa Darjeeling, key -- cancelType, error -- list index out of range 
hotel name --- Zambala Retreat & Spa Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Lemon Tree Homestay Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- deepahomestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Ukiyocafeandstays, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Summit Enigma Resort & Spa , Lamahatta, key -- paymenttype, error -- list index out of range 
hotel name --- Summit Enigma Resort & Spa , Lamahatta, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Banabas Homestay, key -- paymenttype, error -- list index out of range 
hotel name --- The Cloud Balcony, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- sunset nest Drokpas rest, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sai Maple Eco Resort, Darjeeling, key -- paymenttype, error -- list index out of range 
hotel name --- Sai Maple Eco Resort, Darjeeling, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Sumitel Hotel 500 meters from Mall Road, key -- paymenttype, error -- list index out of range 
hotel name --- Yangzi stays, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- The Himalayan Workation, key -- paymenttype, error -- list index out of range 
hotel name --- New, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Lhasa Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- HILLYHOOD HOMESTAY, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Kinley Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Mount Conifer Suites & Spa, key -- paymenttype, error -- list index out of range 
hotel name --- Darjeeling Homes The Glory, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Holiday Homestay, Mungpoo, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Swagatam Homestay, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- CHHOTA RANGEET HoMESTAY, key -- review review_count, error -- 'NoneType' object has no attribute 'find_all' 
hotel name --- Rock view stay, key -- cancelType, error -- list index out of range 
