url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/hillstation-tours.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=240203007_335371315_2_33_0&highlighted_blocks=240203007_335371315_2_33_0&matching_block_id=240203007_335371315_2_33_0&sr_pri_blocks=240203007_335371315_2_33_0__1760000&from=searchresults,"{""Staff"": ""9.5"", ""Facilities"": ""8.7"", ""Cleanliness"": ""9.1"", ""Comfort"": ""9.0"", ""Value_for_money"": ""8.8"", ""Location"": ""8.8"", ""Free_WiFi"": ""9.5""}","[""Free WiFi"", ""Free parking"", ""Family rooms"", ""Exceptional breakfast""]",08:00,
https://www.booking.com/hotel/in/areva-inn.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=250709202_404648121_2_42_0_235527&highlighted_blocks=250709202_404648121_2_42_0_235527&matching_block_id=250709202_404648121_2_42_0_235527&sr_pri_blocks=250709202_404648121_2_42_0_235527_1861800&from=searchresults,"{""Staff"": ""8.3"", ""Facilities"": ""7.5"", ""Cleanliness"": ""7.9"", ""Comfort"": ""8.0"", ""Value_for_money"": ""7.0"", ""Location"": ""7.3"", ""Free_WiFi"": ""8.4""}","[""Outdoor swimming pool"", ""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""BBQ facilities"", ""Good breakfast""]",07:30,
https://www.booking.com/hotel/in/westwood-riverside.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=37320401_414132939_2_1_0&highlighted_blocks=37320401_414132939_2_1_0&matching_block_id=37320401_414132939_2_1_0&sr_pri_blocks=37320401_414132939_2_1_0__1911000&from=searchresults,"{""Staff"": ""8.4"", ""Facilities"": ""7.3"", ""Cleanliness"": ""7.5"", ""Comfort"": ""7.8"", ""Value_for_money"": ""7.2"", ""Location"": ""8.5""}","[""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Fitness centre"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Breakfast"", ""Free cot available on request""]",02:00,11:00
https://www.booking.com/hotel/in/birdwing-cottage-munnar-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1283881803_412158785_2_2_0&highlighted_blocks=1283881803_412158785_2_2_0&matching_block_id=1283881803_412158785_2_2_0&sr_pri_blocks=1283881803_412158785_2_2_0__798000&from=searchresults,"{""Location"": ""8.3"", ""Cleanliness"": ""9.2"", ""Value_for_money"": ""9.0""}","[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Room service""]",,
https://www.booking.com/hotel/in/munnar-mount-shelt.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1193302802_391625514_3_1_0&highlighted_blocks=1193302802_391625514_3_1_0&matching_block_id=1193302802_391625514_3_1_0&sr_pri_blocks=1193302802_391625514_3_1_0__720000&from=searchresults,{},[],,
https://www.booking.com/hotel/in/velvet-clouds-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=16&hapos=16&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1364114501_412099682_2_0_0_905317&highlighted_blocks=1364114501_412099682_2_0_0_905317&matching_block_id=1364114501_412099682_2_0_0_905317&sr_pri_blocks=1364114501_412099682_2_0_0_905317_1470000&from=searchresults,"{""Location"": ""7.2"", ""Cleanliness"": ""8.8"", ""Value_for_money"": ""8.7""}",[],,
https://www.booking.com/hotel/in/red-star-holidays-munnar.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=17&hapos=17&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=685901501_279003217_2_0_0&highlighted_blocks=685901501_279003217_2_0_0&matching_block_id=685901501_279003217_2_0_0&sr_pri_blocks=685901501_279003217_2_0_0__900000&from=searchresults,"{""Staff"": ""8.6"", ""Facilities"": ""7.6"", ""Cleanliness"": ""7.7"", ""Comfort"": ""7.9"", ""Value_for_money"": ""7.8"", ""Location"": ""8.9""}","[""Free parking"", ""Room service"", ""Family rooms"", ""Airport shuttle""]",06:00,
https://www.booking.com/hotel/in/landy-queen.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=389477102_364810887_2_0_0&highlighted_blocks=389477102_364810887_2_0_0&matching_block_id=389477102_364810887_2_0_0&sr_pri_blocks=389477102_364810887_2_0_0__1080000&from=searchresults,"{""Location"": ""9.4"", ""Cleanliness"": ""9.3"", ""Value_for_money"": ""9.4""}",[],,
https://www.booking.com/hotel/in/smm-cottage.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=19&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=195172713_232162604_2_0_0&highlighted_blocks=195172713_232162604_2_0_0&matching_block_id=195172713_232162604_2_0_0&sr_pri_blocks=195172713_232162604_2_0_0__750000&from=searchresults,"{""Location"": ""8.8"", ""Cleanliness"": ""8.1"", ""Value_for_money"": ""8.2""}",[],,
https://www.booking.com/hotel/in/blue-bells-resort-by-maat-hotels.en-gb.html?label=munnar-fEyoWE*r4vqPyXcmF1STAAS392710364838%3Apl%3Ata%3Ap1180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-548904691%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2105113&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c9c250c2a0d50517&srepoch=1749814436&all_sr_blocks=1067358502_411070238_2_42_0&highlighted_blocks=1067358502_411070238_2_42_0&matching_block_id=1067358502_411070238_2_42_0&sr_pri_blocks=1067358502_411070238_2_42_0__1632438&from=searchresults,"{""Staff"": ""9.5"", ""Facilities"": ""7.8"", ""Cleanliness"": ""7.7"", ""Comfort"": ""8.5"", ""Value_for_money"": ""7.8"", ""Location"": ""8.0""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""BBQ facilities"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",06:00,
