url,review_score,facility,checkIn_time,checkOut_time
https://www.booking.com/hotel/in/hrs-budget-rooms.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1319967101_404705511_4_0_0_757134&highlighted_blocks=1319967101_404705511_4_0_0_757134&matching_block_id=1319967101_404705511_4_0_0_757134&sr_pri_blocks=1319967101_404705511_4_0_0_757134_540000&from=searchresults,{},"[""Family rooms"", ""Free parking"", ""Room service"", ""Non-smoking rooms""]",,
https://www.booking.com/hotel/in/rainbow-cottages-ooty.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=143913401_272394144_2_2_0_792488&highlighted_blocks=143913401_272394144_2_2_0_792488&matching_block_id=143913401_272394144_2_2_0_792488&sr_pri_blocks=143913401_272394144_2_2_0_792488_486000&from=searchresults,"{""Staff"": ""7.2"", ""Facilities"": ""6.1"", ""Cleanliness"": ""6.3"", ""Comfort"": ""6.5"", ""Value_for_money"": ""6.6"", ""Location"": ""8.0"", ""Free_WiFi"": ""4.9""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""Breakfast""]",12:00,11:00
https://www.booking.com/hotel/in/city-palace-ooty5.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1323589202_405058571_2_0_0&highlighted_blocks=1323589202_405058571_2_0_0&matching_block_id=1323589202_405058571_2_0_0&sr_pri_blocks=1323589202_405058571_2_0_0__951570&from=searchresults,{},"[""Family rooms"", ""Free WiFi"", ""Free parking"", ""Restaurant""]",,
https://www.booking.com/hotel/in/oyo-13118-twin-falls.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=334890403_400593577_2_2_0_317708&highlighted_blocks=334890403_400593577_2_2_0_317708&matching_block_id=334890403_400593577_2_2_0_317708&sr_pri_blocks=334890403_400593577_2_2_0_317708_952646&from=searchresults,"{""Staff"": ""8.0"", ""Facilities"": ""7.2"", ""Cleanliness"": ""7.4"", ""Comfort"": ""7.5"", ""Value_for_money"": ""7.1"", ""Location"": ""6.5"", ""Free_WiFi"": ""6.1""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Good breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/mayura-sudarshan-ooty.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=200817105_379933804_2_0_0_683807&highlighted_blocks=200817105_379933804_2_0_0_683807&matching_block_id=200817105_379933804_2_0_0_683807&sr_pri_blocks=200817105_379933804_2_0_0_683807_1155400&from=searchresults,"{""Staff"": ""8.8"", ""Facilities"": ""8.1"", ""Cleanliness"": ""8.2"", ""Comfort"": ""8.2"", ""Value_for_money"": ""8.2"", ""Location"": ""9.0"", ""Free_WiFi"": ""7.9""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Very good breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/treebo-trend-windsor-heights.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1053394406_400592739_2_2_0_320178&highlighted_blocks=1053394406_400592739_2_2_0_320178&matching_block_id=1053394406_400592739_2_2_0_320178&sr_pri_blocks=1053394406_400592739_2_2_0_320178_1757639&from=searchresults,"{""Staff"": ""8.1"", ""Facilities"": ""7.5"", ""Cleanliness"": ""7.8"", ""Comfort"": ""7.7"", ""Value_for_money"": ""7.1"", ""Location"": ""7.3"", ""Free_WiFi"": ""8.6""}","[""Free WiFi"", ""Free parking"", ""Room service"", ""Restaurant"", ""Non-smoking rooms"", ""Family rooms"", ""Tea/coffee maker in all rooms"", ""Breakfast""]",13:00,11:00
https://www.booking.com/hotel/in/pleasant-days-amp-balan-groups.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1365900004_408880807_3_2_0&highlighted_blocks=1365900004_408880807_3_2_0&matching_block_id=1365900004_408880807_3_2_0&sr_pri_blocks=1365900004_408880807_3_2_0__599400&from=searchresults,{},[],,
https://www.booking.com/hotel/in/stay-awhile-ooty5.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=1112548401_384193989_3_2_0&highlighted_blocks=1112548401_384193989_3_2_0&matching_block_id=1112548401_384193989_3_2_0&sr_pri_blocks=1112548401_384193989_3_2_0__900000&from=searchresults,"{""Staff"": ""7.5"", ""Facilities"": ""6.2"", ""Cleanliness"": ""6.5"", ""Comfort"": ""6.2"", ""Value_for_money"": ""6.2"", ""Location"": ""6.6""}","[""Free parking"", ""Breakfast""]",11:00,
https://www.booking.com/hotel/in/lighthouse.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=174766502_392321315_2_1_0_314820&highlighted_blocks=174766502_392321315_2_1_0_314820&matching_block_id=174766502_392321315_2_1_0_314820&sr_pri_blocks=174766502_392321315_2_1_0_314820_1652481&from=searchresults,{},[],,
https://www.booking.com/hotel/in/landmark-ooty.en-gb.html?label=udagamandalam-QNvSsbKFBcfcVFU*asFKOgS392972668511%3Apl%3Ata%3Ap1115%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-184918236%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2113628&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e51b4c2422ba00be&srepoch=1749812230&all_sr_blocks=209325601_374659318_2_0_0&highlighted_blocks=209325601_374659318_2_0_0&matching_block_id=209325601_374659318_2_0_0&sr_pri_blocks=209325601_374659318_2_0_0__900000&from=searchresults,"{""Staff"": ""4.9"", ""Facilities"": ""4.5"", ""Cleanliness"": ""4.8"", ""Comfort"": ""4.4"", ""Value_for_money"": ""4.9"", ""Location"": ""5.7""}","[""Free WiFi"", ""Room service"", ""Non-smoking rooms"", ""Family rooms"", ""Airport shuttle"", ""Free cot available on request""]",11:30,
