name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
TheReefApartment,Two-Bedroom Apartment,Free cancellation,No prepayment needed,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 84 m²4 beds (2 singles, 1 double, 1 sofa bed)","₹ 26,995",-1,-1,17.2 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/thereefapartment.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=999556601_372780071_4_0_0&highlighted_blocks=999556601_372780071_4_0_0&matching_block_id=999556601_372780071_4_0_0&sr_pri_blocks=999556601_372780071_4_0_0__2699460&from=searchresults
BKs Den,Three-Bedroom Villa,Free cancellation,No prepayment needed,Entire villa • 2 bedrooms • 3 bathrooms • 1 kitchen • 731 m²2 extra-large double beds,"₹ 102,000",-1,-1,25 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/bks-den.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1326129201_405228318_4_0_0&highlighted_blocks=1326129201_405228318_4_0_0&matching_block_id=1326129201_405228318_4_0_0&sr_pri_blocks=1326129201_405228318_4_0_0__10200000&from=searchresults
Servostay 14 Bhk Fully Furnished in Hafeezpet with Parking,Apartment,Free cancellation,No prepayment needed,"Entire apartment • 12 bedrooms • 5 living rooms • 12 bathrooms • 613 m²12 beds (6 doubles, 6 large doubles)","₹ 22,473",-1,-1,10.6 km from centre,"HITEC City, Hyderabad",2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/12-bhk-fully-furnished-in-hafeezpet-with-parking.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=991570001_382327685_3_0_0&highlighted_blocks=991570001_382327685_3_0_0&matching_block_id=991570001_382327685_3_0_0&sr_pri_blocks=991570001_382327685_3_0_0__2247300&from=searchresults
Servostay Kukatpally Spacious 5 BHK Duplex in Vivekananda Nagar with Parking,Apartment,Free cancellation,No prepayment needed,"6 beds (1 double, 1 sofa bed, 4 large doubles)","₹ 37,645",-1,-1,9.5 km from centre,"Kukatpally, Hyderabad",2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/luxurious-5-bhk-duplex-in-kukatpally.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=959181801_382327700_5_0_0&highlighted_blocks=959181801_382327700_5_0_0&matching_block_id=959181801_382327700_5_0_0&sr_pri_blocks=959181801_382327700_5_0_0__3764475&from=searchresults
VISTA Homes,Villa,Free cancellation,No prepayment needed,"Entire villa • 1 bedroom • 4 bathrooms • 1,000 m²1 large double bed","₹ 60,750",-1,-1,1.4 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/vista-homes-hyderbabd.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1372281401_409416079_3_0_0&highlighted_blocks=1372281401_409416079_3_0_0&matching_block_id=1372281401_409416079_3_0_0&sr_pri_blocks=1372281401_409416079_3_0_0__6075000&from=searchresults
"Row House 4 BHK - 4 balconies-Near AIG Hospital, Gachibowli",Apartment,Free cancellation,,"Entire apartment • 4 bedrooms • 3 living rooms • 4 bathrooms • 1 kitchen • 465 m²6 beds (2 extra-large doubles, 2 sofa beds, 2 large doubles)","₹ 48,600",-1,-1,9.1 km from centre,"HITEC City, Hyderabad",2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/row-house-4-bhk-4-balconies-near-aig-hospital-gachibowli.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=16&hapos=16&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1190124101_410990564_8_0_0&highlighted_blocks=1190124101_410990564_8_0_0&matching_block_id=1190124101_410990564_8_0_0&sr_pri_blocks=1190124101_410990564_8_0_0__4860000&from=searchresults
5 bhk plush independent bungalow,Villa,Free cancellation,No prepayment needed,"Entire villa • 5 bedrooms • 1 living room • 6 bathrooms • 1 kitchen • 465 m²7 beds (2 doubles, 2 extra-large doubles, 2 sofa beds, 1 large double)","₹ 63,000",-1,-1,11.3 km from centre,"Gachibowli, Hyderabad",2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/5-bhk-plush-independent-bungalow.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=17&hapos=17&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1209084601_393085088_6_0_0&highlighted_blocks=1209084601_393085088_6_0_0&matching_block_id=1209084601_393085088_6_0_0&sr_pri_blocks=1209084601_393085088_6_0_0__6300000&from=searchresults
The Altruist One Continent,Deluxe Twin Room,Free cancellation,No prepayment needed,2 single beds,"₹ 21,684",-1,-1,5 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/the-altruist-one-continent.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1327333301_405329713_2_2_0&highlighted_blocks=1327333301_405329713_2_2_0&matching_block_id=1327333301_405329713_2_2_0&sr_pri_blocks=1327333301_405329713_2_2_0__2168400&from=searchresults
Hotel Radhe Pride Hitech City,Executive Suite,Free cancellation,No prepayment needed,Private suite2 large double beds,"₹ 21,426",-1,-1,6.2 km from centre,"HITEC City, Hyderabad",2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/radhe-pride-hitech-city.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=19&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=1261545706_398771651_3_1_0&highlighted_blocks=1261545706_398771651_3_1_0&matching_block_id=1261545706_398771651_3_1_0&sr_pri_blocks=1261545706_398771651_3_1_0__2142600&from=searchresults
THE CENT HOTEL,Standard Double or Twin Room,Free cancellation,,1 single bed,"₹ 26,994",-1,-1,2.9 km from centre,Hyderabad,2025-07-01,2025-07-07,Hyderabad,https://www.booking.com/hotel/in/the-cent-hyderabad.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aq6bz8EGwAIB0gIkMmI4ZjY1ZjYtZTk4Yi00ODgzLWI3MzctNTlmMDY0ZmI2OWU22AIF4AIB&sid=6a79f3b0e2eed797e56fbbbc032eb85b&aid=304142&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2097701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c8a13c6260fb000b&srepoch=1749631999&all_sr_blocks=771252301_385151201_0_26_0&highlighted_blocks=771252301_385151201_0_26_0&matching_block_id=771252301_385151201_0_26_0&sr_pri_blocks=771252301_385151201_0_26_0__2699400&from=searchresults
