name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
Treebo Sreemaa Newtown,Standard Double Room,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 13,802",7.6,48,11 km from centre,"New Town, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/fabhotel-sreemaa-new-towan.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=11&hapos=11&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=227691103_397215860_2_0_0_316777&highlighted_blocks=227691103_397215860_2_0_0_316777&matching_block_id=227691103_397215860_2_0_0_316777&sr_pri_blocks=227691103_397215860_2_0_0_316777_1380238&from=searchresults
55 B,Small Double or Twin Room,No prepayment needed,,2 single beds,"₹ 12,636",8.2,6,5.8 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/55-b-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=12&hapos=12&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=416244301_179363586_2_42_549755813888&highlighted_blocks=416244301_179363586_2_42_549755813888&matching_block_id=416244301_179363586_2_42_549755813888&sr_pri_blocks=416244301_179363586_2_42_549755813888__1263600&from=searchresults
ibis Kolkata Rajarhat - An Accor Brand,Standard Twin Room with 25% discount on food and soft beverages,,,2 single beds,"₹ 19,280",7.0,1581,9.5 km from centre,"New Town, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/ibis-kolkata-rajarhat.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=13&hapos=13&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=399126302_123322276_2_42_549755813888&highlighted_blocks=399126302_123322276_2_42_549755813888&matching_block_id=399126302_123322276_2_42_549755813888&sr_pri_blocks=399126302_123322276_2_42_549755813888__1928000&from_sustainable_property_sr=1&from=searchresults
Hotek Rose Inn,Deluxe Room,Free cancellation,No prepayment needed,"11 beds (1 double, 10 large doubles)","₹ 9,900",7.2,23,6.2 km from centre,"Kalighat, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/hotek-rose-inn.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=14&hapos=14&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1353600001_409375254_0_42_0&highlighted_blocks=1353600001_409375254_0_42_0&matching_block_id=1353600001_409375254_0_42_0&sr_pri_blocks=1353600001_409375254_0_42_0__990000&from=searchresults
FabHotel Prime Kzar Corporate - Nr Sealdah Station,Superior Double Room,Free cancellation,,1 double bed,"₹ 12,039",7.7,400,1.1 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/collection-o-76383-kzar-corporate.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=15&hapos=15&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=684164705_410205339_2_2_0_879535&highlighted_blocks=684164705_410205339_2_2_0_879535&matching_block_id=684164705_410205339_2_2_0_879535&sr_pri_blocks=684164705_410205339_2_2_0_879535_1203900&from=searchresults
Astoria Hotel,Comfort Twin Room,Free cancellation,No prepayment needed,2 single beds,"₹ 15,660",5.6,176,2.2 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/astoria-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=16&hapos=16&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=36083107_367674506_2_40_0&highlighted_blocks=36083107_367674506_2_40_0&matching_block_id=36083107_367674506_2_40_0&sr_pri_blocks=36083107_367674506_2_40_0__1566000&from=searchresults
LBD RESORTS & HOTELS KOLKATA,Standard Studio,,,Entire studio • 1 bathroom • 33 m²1 double bed,"₹ 15,120",7.4,1134,5.9 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/lbd-resorts-amp-hotels-kolkata.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=17&hapos=17&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=630365301_368564888_0_1_0&highlighted_blocks=630365301_368564888_0_1_0&matching_block_id=630365301_368564888_0_1_0&sr_pri_blocks=630365301_368564888_0_1_0__1512000&from=searchresults
Itsy Hotels Transit Express,Double Room,Free cancellation,No prepayment needed,Beds: 1 double or 2 singles,"₹ 10,323",6.8,370,1.6 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/transit-express.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=18&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=899759702_400592862_2_2_0_33994&highlighted_blocks=899759702_400592862_2_2_0_33994&matching_block_id=899759702_400592862_2_2_0_33994&sr_pri_blocks=899759702_400592862_2_2_0_33994_1032264&from=searchresults
Monovilla Inn,Deluxe Double Room,,,1 extra-large double bed,"₹ 7,344",7.2,79,1.6 km from centre,Kolkata,2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/monovilla-inn.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=19&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=147433901_87496485_2_42_0&highlighted_blocks=147433901_87496485_2_42_0&matching_block_id=147433901_87496485_2_42_0&sr_pri_blocks=147433901_87496485_2_42_0__734400&from=searchresults
FabHotel Prime Tiyara Inn,Executive Triple Room,Free cancellation,,1 extra-large double bed,"₹ 17,694",8.6,44,6 km from centre,"Salt Lake, Kolkata",2025-07-01,2025-07-07,Kolkata,https://www.booking.com/hotel/in/tiyara-inn.en-gb.html?label=in-calcutta-vvLzfPkAAQzI7P35JNnmXgS528846144629%3Apl%3Ata%3Ap1270%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-139994056%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2092511&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=20&sr_order=popularity&srpvid=f08138db601b0a48&srepoch=1749716220&all_sr_blocks=1014987403_410204836_2_2_0_879869&highlighted_blocks=1014987403_410204836_2_2_0_879869&matching_block_id=1014987403_410204836_2_2_0_879869&sr_pri_blocks=1014987403_410204836_2_2_0_879869_1769351&from=searchresults
