name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
Mukhia's HomeStay Amayras,Deluxe Double Room (2 Adults + 1 Child),Free cancellation,No prepayment needed,"2 beds (1 single, 1 large double)","₹ 12,900",9.8,8,9.4 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/hamroghar-mukhias-homestay.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=155&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1210661401_393242037_3_41_0_628461&highlighted_blocks=1210661401_393242037_3_41_0_628461&matching_block_id=1210661401_393242037_3_41_0_628461&sr_pri_blocks=1210661401_393242037_3_41_0_628461_1290000&from=searchresults
Lhasa Homestay,Double Room,Free cancellation,No prepayment needed,2 double beds,"₹ 8,100",-1,-1,18.7 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/lhasa-homestay-darjeeling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=156&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1401660102_412003650_3_1_0&highlighted_blocks=1401660102_412003650_3_1_0&matching_block_id=1401660102_412003650_3_1_0&sr_pri_blocks=1401660102_412003650_3_1_0__810000&from=searchresults
Sumitel Queens Yard,Deluxe Triple Room,Free cancellation,No prepayment needed,1 double bed,"₹ 34,020",6.2,4,350 m from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/sumi-queens-yard-darjeeling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=157&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1179779002_401141845_3_0_0&highlighted_blocks=1179779002_401141845_3_0_0&matching_block_id=1179779002_401141845_3_0_0&sr_pri_blocks=1179779002_401141845_3_0_0__3402000&from=searchresults
Mountain View homestay,One-Bedroom Apartment,Free cancellation,No prepayment needed,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 15 m²2 double beds,"₹ 20,400",10,1,450 m from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/mountain-view-homestay-darjeeling3.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=158&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1383265701_410397352_3_1_0&highlighted_blocks=1383265701_410397352_3_1_0&matching_block_id=1383265701_410397352_3_1_0&sr_pri_blocks=1383265701_410397352_3_1_0__2040000&from=searchresults
HILLYHOOD HOMESTAY,Triple Room with Mountain View,Free cancellation,No prepayment needed,"2 beds (1 single, 1 double)","₹ 11,340",-1,-1,2.1 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/hillyhood-homestay-darjeeling2.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=159&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1160948601_388796701_3_0_0&highlighted_blocks=1160948601_388796701_3_0_0&matching_block_id=1160948601_388796701_3_0_0&sr_pri_blocks=1160948601_388796701_3_0_0__1134000&from=searchresults
Jhampeyang Homestay,Double Room with Balcony,Free cancellation,No prepayment needed,2 double beds,"₹ 12,000",10,1,2.2 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/jhampeyang-homestay.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=160&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1397141101_411610320_3_2_0&highlighted_blocks=1397141101_411610320_3_2_0&matching_block_id=1397141101_411610320_3_2_0&sr_pri_blocks=1397141101_411610320_3_2_0__1200000&from=searchresults
Kinley Homestay,Deluxe Double Room with Extra Bed,Free cancellation,No prepayment needed,2 double beds,"₹ 13,500",-1,-1,1.3 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/kinley-homestay.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=161&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1397583002_411644786_3_0_0&highlighted_blocks=1397583002_411644786_3_0_0&matching_block_id=1397583002_411644786_3_0_0&sr_pri_blocks=1397583002_411644786_3_0_0__1350000&from=searchresults
Mount Conifer Suites & Spa,Deluxe Room,Free cancellation,,1 large double bed,"₹ 21,174",5.5,53,300 m from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/mount-conifer-suites-amp-spa.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=162&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=693339401_410782067_2_0_0&highlighted_blocks=693339401_410782067_2_0_0&matching_block_id=693339401_410782067_2_0_0&sr_pri_blocks=693339401_410782067_2_0_0__2117400&from=searchresults
Darjeeling Homes The Glory,Deluxe Room,Free cancellation,No prepayment needed,1 large double bed • Free cot always available,"₹ 11,994",-1,-1,2.7 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/darjeeling-homes-the-glory.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=163&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1410802101_412897326_2_0_0&highlighted_blocks=1410802101_412897326_2_0_0&matching_block_id=1410802101_412897326_2_0_0&sr_pri_blocks=1410802101_412897326_2_0_0__1199400&from=searchresults
"Holiday Homestay, Mungpoo",Standard King Room,Free cancellation,No prepayment needed,"2 beds (1 large double, 1 futon)","₹ 20,400",-1,-1,13.2 km from centre,Darjeeling,2025-07-01,2025-07-07,Darjelling,https://www.booking.com/hotel/in/holiday-homestay-mungpoo-darjeeling.en-gb.html?label=in-darjeeling-Ap7suPadgvusSejW_mkkPQS528846144620%3Apl%3Ata%3Ap180%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-749318718%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2094056&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=10&hapos=164&sr_order=popularity&srpvid=23a52752f4660027&srepoch=1749793163&all_sr_blocks=1261671701_398784827_3_1_0&highlighted_blocks=1261671701_398784827_3_1_0&matching_block_id=1261671701_398784827_3_1_0&sr_pri_blocks=1261671701_398784827_3_1_0__2040000&from=searchresults
