name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
JW Marriott Goa,Luxury Tropical King Room with Balcony and Forest View,Free cancellation,,1 extra-large double bed,"₹ 140,125",9.3,226,,Vagator,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/jw-marriott-goa-vagator.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=18&hapos=93&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823949&all_sr_blocks=968316903_395839754_2_41_0&highlighted_blocks=968316903_395839754_2_41_0&matching_block_id=968316903_395839754_2_41_0&sr_pri_blocks=968316903_395839754_2_41_0__14012500&from=searchresults
Treebo Sunheads,Standard Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 17,982",6.9,670,,Panaji,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/oyo-9517-sunheads.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=94&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=281870508_400592722_2_2_0_316762&highlighted_blocks=281870508_400592722_2_2_0_316762&matching_block_id=281870508_400592722_2_2_0_316762&sr_pri_blocks=281870508_400592722_2_2_0_316762_1798200&from=searchresults
Hard Rock Hotel Goa Calangute,Deluxe Twin Room with 20% Discount on F&B & 10% Discount on Spa,Free cancellation,,2 single beds,"₹ 35,191",7.6,779,,Calangute,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/swissa-tel-goa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=95&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=47694906_367899317_2_41_0_921280&highlighted_blocks=47694906_367899317_2_41_0_921280&matching_block_id=47694906_367899317_2_41_0_921280&sr_pri_blocks=47694906_367899317_2_41_0_921280_3519134&from=searchresults
"Taj Fort Aguada Resort & Spa, Goa",Deluxe Room Sea View with Sitout - King Bed,Free cancellation,,1 extra-large double bed,"₹ 126,000",8.8,1034,,"Candolim Beach, Candolim",2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/fort-aguada-beach-resort.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=96&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=7471910_354040285_2_41_0&highlighted_blocks=7471910_354040285_2_41_0&matching_block_id=7471910_354040285_2_41_0&sr_pri_blocks=7471910_354040285_2_41_0__12600000&from_sustainable_property_sr=1&from=searchresults
Saikiran Hotel,Deluxe Double Room with Balcony,Free cancellation,No prepayment needed,1 double bed,"₹ 11,400",7.4,35,,Mapusa,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/saikiran.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=97&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=1093674501_390331963_2_2_0&highlighted_blocks=1093674501_390331963_2_2_0&matching_block_id=1093674501_390331963_2_2_0&sr_pri_blocks=1093674501_390331963_2_2_0__1140000&from=searchresults
DoubleTree by Hilton Goa - Panaji,Deluxe Twin Room with Garden View and Balcony,Free cancellation,No prepayment needed,2 single beds,"₹ 50,145",8.4,591,,Panaji,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/doubletree-by-hilton-goa-panaji.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=5&hapos=98&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=342628731_396598055_2_42_0&highlighted_blocks=342628731_396598055_2_42_0&matching_block_id=342628731_396598055_2_42_0&sr_pri_blocks=342628731_396598055_2_42_0__5014490&from_sustainable_property_sr=1&from=searchresults
Hilton Goa Resort Candolim,Superior King Room with Balcony - Tropical View,Free cancellation,No prepayment needed,1 extra-large double bed,"₹ 70,550",8.4,336,,Candolim,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/hilton-goa-resort.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=6&hapos=99&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=430989901_383478191_2_41_0&highlighted_blocks=430989901_383478191_2_41_0&matching_block_id=430989901_383478191_2_41_0&sr_pri_blocks=430989901_383478191_2_41_0__7055000&from_sustainable_property_sr=1&from=searchresults
"Soul Vacation Resort and Spa,Colva",Deluxe Room,Free cancellation,,1 double bed,"₹ 37,200",8.2,225,,"Colva Beach, Colva",2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/soul-vacation-resort-spa.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=7&hapos=100&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=31025007_399042803_2_1_0&highlighted_blocks=31025007_399042803_2_1_0&matching_block_id=31025007_399042803_2_1_0&sr_pri_blocks=31025007_399042803_2_1_0__3720000&from=searchresults
Godwill Casa Varca,Superior Family Room,,,3 extra-large double beds,"₹ 6,273",7.9,182,,Varca,2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/godwill-casa-varca.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=8&hapos=101&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=354375422_404428683_2_42_0_920214&highlighted_blocks=354375422_404428683_2_42_0_920214&matching_block_id=354375422_404428683_2_42_0_920214&sr_pri_blocks=354375422_404428683_2_42_0_920214_627264&from=searchresults
Riva Beach Resort,Superior Deluxe Room with Balcony,Free cancellation,,1 extra-large double bed,"₹ 41,374",7.4,445,,"Mandrem Beach , Mandrem",2025-07-01,2025-07-07,Goa,https://www.booking.com/hotel/in/riva-beach-resort.en-gb.html?label=goa-ZeZjr8EI44AA*FPJ9u*FqgS388387535727%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100501%3Alp9181766%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcWHiCDB7igB8XpJKYgu4TM&aid=324798&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=9&hapos=102&sr_order=popularity&srpvid=6d7163d2a66c0249&srepoch=1749823980&all_sr_blocks=55928811_406986927_2_33_0&highlighted_blocks=55928811_406986927_2_33_0&matching_block_id=55928811_406986927_2_33_0&sr_pri_blocks=55928811_406986927_2_33_0__4137440&from=searchresults
