name,room_type,cancel_type,paymentType,bed_type,price,review,review_count,distance,address,checkin,checkout,city,url
"Hotel Beas Valley, Manāli",Family Room,Free cancellation,No prepayment needed,2 large double beds,"₹ 23,994",-1,-1,1.6 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/beas-valley-manali2.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=19&hapos=255&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726732&all_sr_blocks=1418853002_413559044_4_2_0&highlighted_blocks=1418853002_413559044_4_2_0&matching_block_id=1418853002_413559044_4_2_0&sr_pri_blocks=1418853002_413559044_4_2_0__2399400&from=searchresults
Kaira huts nature's hug,Chalet,Free cancellation,No prepayment needed,"Entire chalet • 2 bedrooms • 1 bathroom2 beds (1 double, 1 extra-large double)","₹ 53,988",-1,-1,100 m from centre,"New Manali, Manāli",2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/kaira-huts-natures-hug.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=20&hapos=256&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726732&all_sr_blocks=1423232501_413957645_8_2_0&highlighted_blocks=1423232501_413957645_8_2_0&matching_block_id=1423232501_413957645_8_2_0&sr_pri_blocks=1423232501_413957645_8_2_0__5398800&from=searchresults
Pause By the Woods,Deodhar Superior Cottage,Free cancellation,,"Entire chalet • 1 bedroom • 1 bathroom • 39 m²2 beds (1 extra-large double, 1 sofa bed)","₹ 56,070",10,1,12.6 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/heritage-holiday-cottage.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=21&hapos=257&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726732&all_sr_blocks=171413219_406929115_2_41_0&highlighted_blocks=171413219_406929115_2_41_0&matching_block_id=171413219_406929115_2_41_0&sr_pri_blocks=171413219_406929115_2_41_0__5607000&from=searchresults
Hotel Smugglers Mountain View - central heated & air Cooled #Free Pick from Volvo Bus Stand,Double Room with Mountain View,Free cancellation,,1 extra-large double bed,"₹ 24,420",8.5,56,1.3 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/smuggler.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=22&hapos=258&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726732&all_sr_blocks=684877401_365765326_2_42_0&highlighted_blocks=684877401_365765326_2_42_0&matching_block_id=684877401_365765326_2_42_0&sr_pri_blocks=684877401_365765326_2_42_0__2442000&from=searchresults
Cascade Mountain Retreat Manali,Double Room with Mountain View,Free cancellation,No prepayment needed,1 large double bed,"₹ 33,000",9.8,14,5.1 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/cascade-mountain-retreat-manali-manali.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=23&hapos=259&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726732&all_sr_blocks=1187472204_411125936_2_42_0&highlighted_blocks=1187472204_411125936_2_42_0&matching_block_id=1187472204_411125936_2_42_0&sr_pri_blocks=1187472204_411125936_2_42_0__3300000&from=searchresults
Tripple R Ambika residency,Deluxe Family Room,Free cancellation,No prepayment needed,1 large double bed,"₹ 18,000",-1,-1,1 km from centre,"Old Manali, Manāli",2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/tripple-r-ambika-residency.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=24&hapos=260&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726732&all_sr_blocks=1357192901_408051003_3_1_0&highlighted_blocks=1357192901_408051003_3_1_0&matching_block_id=1357192901_408051003_3_1_0&sr_pri_blocks=1357192901_408051003_3_1_0__1800000&from=searchresults
"deja view orchard, old manali",King Room with Mountain View,Free cancellation,No prepayment needed,1 large double bed,"₹ 16,200",9.0,1,2.7 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/deja-view-orchard-old-manali.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=1&hapos=261&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726764&all_sr_blocks=1407676601_413123576_2_42_0_916836&highlighted_blocks=1407676601_413123576_2_42_0_916836&matching_block_id=1407676601_413123576_2_42_0_916836&sr_pri_blocks=1407676601_413123576_2_42_0_916836_1620000&from=searchresults
4BHKitchen I MountainView I Pet Friendly I Garden,Apartment with Mountain View,Free cancellation,,Entire apartment • 4 bedrooms • 1 living room • 4 bathrooms • 1 kitchen • 13 m²4 double beds,"₹ 52,920",-1,-1,2.8 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/ride-at-hill-nihal-cottage-ii.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=2&hapos=262&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726764&all_sr_blocks=611052101_410352918_8_42_0_659914&highlighted_blocks=611052101_410352918_8_42_0_659914&matching_block_id=611052101_410352918_8_42_0_659914&sr_pri_blocks=611052101_410352918_8_42_0_659914_5292000&from=searchresults
Hygge Home Manali,King Room with Garden View,Free cancellation,No prepayment needed,1 extra-large double bed • Cot always available,"₹ 39,000",9.7,4,7 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/hygge-home-manali.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=3&hapos=263&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726764&all_sr_blocks=1311755306_403958337_2_34_0&highlighted_blocks=1311755306_403958337_2_34_0&matching_block_id=1311755306_403958337_2_34_0&sr_pri_blocks=1311755306_403958337_2_34_0__3900000&from=searchresults
Hotel Anchal Residency,Triple Room with Mountain View,Free cancellation,No prepayment needed,"2 beds (1 single, 1 large double)","₹ 15,000",9.0,1,1.7 km from centre,Manāli,2025-07-01,2025-07-07,Manali,https://www.booking.com/hotel/in/anchal-residency-manali1.en-gb.html?label=manali-*dOCXSLs7S8rLe_i*dquYwS392972668748%3Apl%3Ata%3Ap1200%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-25100481%3Alp1007765%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&aid=306395&ucfs=1&arphpl=1&checkin=2025-07-01&checkout=2025-07-07&dest_id=-2103603&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=1&req_children=1&age=0&req_age=0&hpos=4&hapos=264&sr_order=popularity&srpvid=e51b4de81b540012&srepoch=1749726764&all_sr_blocks=1396369402_411547427_3_0_0&highlighted_blocks=1396369402_411547427_3_0_0&matching_block_id=1396369402_411547427_3_0_0&sr_pri_blocks=1396369402_411547427_3_0_0__1500000&from=searchresults
